,GDate,CodOfBuyer,CodOfSeller,Value,Valume
32265,2022-04-16,128066,801446,1635390013,244207
32266,2022-04-16,128066,617843,1570534079,359338
32273,2022-04-16,128066,163989,1657437478,285741
32357,2022-04-16,006908,180344,4854258055,670569
32358,2022-04-16,028605,163989,1620489382,341640
32359,2022-04-16,028605,180344,1647611154,332320
32366,2022-04-16,433919,140402,1111759470,224906
32393,2022-04-16,725324,180344,1623738546,277688
32395,2022-04-16,768054,163989,1445831266,248340
32401,2022-04-16,834011,163989,1879809094,358422
32455,2022-04-16,216797,180344,4062530540,511781
32462,2022-04-16,216797,473405,1493040916,272315
32493,2022-04-16,375505,180344,8100456875,1117422
32498,2022-04-16,375505,564910,1225773821,259954
32548,2022-04-16,421344,617843,1652328705,304681
32565,2022-04-16,421344,163989,1623405047,367712
32577,2022-04-16,421344,180344,6692752205,988540
32593,2022-04-16,730250,180344,1620860405,233587
32601,2022-04-16,991413,163989,3270241118,480583
32604,2022-04-16,074593,180344,1625669313,210852
32636,2022-04-16,602756,180344,6024436270,915511
32639,2022-04-16,862066,163989,1656200107,367140
32649,2022-04-16,544432,180344,1648505399,340188
32665,2022-04-17,913786,564910,1715652200,306702
32727,2022-04-17,890043,088039,1690396129,354454
32835,2022-04-17,844366,919496,1135651724,162413
32898,2022-04-17,829197,657185,1710521256,221730
32902,2022-04-17,829197,163989,3452473171,420768
32911,2022-04-17,829197,987951,1113520337,201677
32952,2022-04-17,804493,014598,1099235522,228238
32964,2022-04-17,800677,163989,1820956704,394027
33066,2022-04-17,748781,657827,1701750606,263207
33084,2022-04-17,744489,617843,1665072907,229967
33200,2022-04-17,695897,209219,1731785082,216819
33217,2022-04-17,686689,223129,1689168105,378224
33276,2022-04-17,658434,764663,1715951620,218984
33278,2022-04-17,658434,163989,2459949574,446197
33280,2022-04-17,657185,860966,1805541076,359194
33549,2022-04-17,545439,764663,1712340517,302284
33551,2022-04-17,545319,295414,1637538920,336372
33552,2022-04-17,545319,564910,1715373397,328244
33562,2022-04-17,541133,163989,1189358427,189284
33618,2022-04-17,525311,433919,1161495436,252103
33692,2022-04-17,496781,922183,2564438219,413248
33694,2022-04-17,496781,014598,1726834900,268018
33712,2022-04-17,493307,163989,5943859539,720432
33714,2022-04-17,493307,550280,5551138753,790998
33876,2022-04-17,432003,860966,1124003526,157019
33944,2022-04-17,393472,754113,1699100169,308692
34016,2022-04-17,380360,014598,1262879393,211642
34048,2022-04-17,369596,922183,6103037028,887078
34053,2022-04-17,369596,473405,1700861951,256599
34343,2022-04-17,260087,941501,1223995271,241485
34403,2022-04-17,252669,852094,1191834253,226948
34414,2022-04-17,247496,162426,1128015252,210668
34431,2022-04-17,233734,860966,1328965335,232431
34433,2022-04-17,233734,764663,1711354375,342836
34442,2022-04-17,233734,795763,1377426220,298616
34492,2022-04-17,209742,162426,2006692483,313228
34533,2022-04-17,199462,223566,1562263557,195218
34543,2022-04-17,199462,408340,1335297835,282820
34593,2022-04-17,186909,690891,1729223548,204656
34600,2022-04-17,186909,480454,5112298588,706104
34627,2022-04-17,186909,163989,4425048545,595659
34652,2022-04-17,186909,452691,1379930105,304718
34691,2022-04-17,183277,776941,1721838461,295657
